record_id,account_id,recorded_on,amount,currency,category,memo
rec-000001,acct-002,2026-05-02,1137,JPY,one_time,sample record 1
rec-000002,acct-003,2026-05-03,1274,JPY,refund,sample record 2
rec-000003,acct-004,2026-05-04,1411,JPY,adjustment,sample record 3
rec-000004,acct-005,2026-05-05,1548,JPY,usage,sample record 4
rec-000005,acct-006,2026-05-06,1685,JPY,subscription,sample record 5
rec-000006,acct-007,2026-05-07,1822,JPY,one_time,sample record 6
rec-000007,acct-008,2026-05-08,1959,JPY,refund,sample record 7
rec-000008,acct-009,2026-05-09,2096,JPY,adjustment,sample record 8
rec-000009,acct-010,2026-05-10,2233,JPY,usage,sample record 9
rec-000010,acct-001,2026-05-11,2370,JPY,subscription,sample record 10
rec-000011,acct-002,2026-05-12,2507,JPY,one_time,sample record 11
rec-000012,acct-003,2026-05-13,2644,JPY,refund,sample record 12
rec-000013,acct-004,2026-05-14,2781,JPY,adjustment,sample record 13
rec-000014,acct-005,2026-05-15,2918,JPY,usage,sample record 14
rec-000015,acct-006,2026-05-16,3055,JPY,subscription,sample record 15
rec-000016,acct-007,2026-05-17,3192,JPY,one_time,sample record 16
rec-000017,acct-008,2026-05-18,3329,JPY,refund,sample record 17
rec-000018,acct-009,2026-05-19,3466,JPY,adjustment,sample record 18
rec-000019,acct-010,2026-05-20,3603,JPY,usage,sample record 19
rec-000020,acct-001,2026-05-21,3740,JPY,subscription,sample record 20
rec-000021,acct-002,2026-05-22,3877,JPY,one_time,sample record 21
rec-000022,acct-003,2026-05-23,4014,JPY,refund,sample record 22
rec-000023,acct-004,2026-05-24,4151,JPY,adjustment,sample record 23
rec-000024,acct-005,2026-05-25,4288,JPY,usage,sample record 24
rec-000025,acct-006,2026-05-26,4425,JPY,subscription,sample record 25
rec-000026,acct-007,2026-05-27,4562,JPY,one_time,sample record 26
rec-000027,acct-008,2026-05-28,4699,JPY,refund,sample record 27
rec-000028,acct-009,2026-05-01,4836,JPY,adjustment,sample record 28
rec-000029,acct-010,2026-05-02,4973,JPY,usage,sample record 29
rec-000030,acct-001,2026-05-03,5110,JPY,subscription,sample record 30
rec-000031,acct-002,2026-05-04,5247,JPY,one_time,sample record 31
rec-000032,acct-003,2026-05-05,5384,JPY,refund,sample record 32
rec-000033,acct-004,2026-05-06,5521,JPY,adjustment,sample record 33
rec-000034,acct-005,2026-05-07,5658,JPY,usage,sample record 34
rec-000035,acct-006,2026-05-08,5795,JPY,subscription,sample record 35
rec-000036,acct-007,2026-05-09,5932,JPY,one_time,sample record 36
rec-000037,acct-008,2026-05-10,6069,JPY,refund,sample record 37
rec-000038,acct-009,2026-05-11,6206,JPY,adjustment,sample record 38
rec-000039,acct-010,2026-05-12,6343,JPY,usage,sample record 39
rec-000040,acct-001,2026-05-13,6480,JPY,subscription,sample record 40
rec-000041,acct-002,2026-05-14,6617,JPY,one_time,sample record 41
rec-000042,acct-003,2026-05-15,6754,JPY,refund,sample record 42
rec-000043,acct-004,2026-05-16,6891,JPY,adjustment,sample record 43
rec-000044,acct-005,2026-05-17,7028,JPY,usage,sample record 44
rec-000045,acct-006,2026-05-18,7165,JPY,subscription,sample record 45
rec-000046,acct-007,2026-05-19,7302,JPY,one_time,sample record 46
rec-000047,acct-008,2026-05-20,7439,JPY,refund,sample record 47
rec-000048,acct-009,2026-05-21,7576,JPY,adjustment,sample record 48
rec-000049,acct-010,2026-05-22,7713,JPY,usage,sample record 49
rec-000050,acct-001,2026-05-23,7850,JPY,subscription,sample record 50
rec-000051,acct-002,2026-05-24,7987,JPY,one_time,sample record 51
rec-000052,acct-003,2026-05-25,8124,JPY,refund,sample record 52
rec-000053,acct-004,2026-05-26,8261,JPY,adjustment,sample record 53
rec-000054,acct-005,2026-05-27,8398,JPY,usage,sample record 54
rec-000055,acct-006,2026-05-28,8535,JPY,subscription,sample record 55
rec-000056,acct-007,2026-05-01,8672,JPY,one_time,sample record 56
rec-000057,acct-008,2026-05-02,8809,JPY,refund,sample record 57
rec-000058,acct-009,2026-05-03,8946,JPY,adjustment,sample record 58
rec-000059,acct-010,2026-05-04,9083,JPY,usage,sample record 59
rec-000060,acct-001,2026-05-05,9220,JPY,subscription,sample record 60
rec-000061,acct-002,2026-05-06,9357,JPY,one_time,sample record 61
rec-000062,acct-003,2026-05-07,9494,JPY,refund,sample record 62
rec-000063,acct-004,2026-05-08,9631,JPY,adjustment,sample record 63
rec-000064,acct-005,2026-05-09,9768,JPY,usage,sample record 64
rec-000065,acct-006,2026-05-10,9905,JPY,subscription,sample record 65
